"Type","Variable","Description","Units"
"TIMEKEEPING","TIMESTAMP_START","ISO timestamp start of averaging period (up to a 12-digit integer as specified by the data's temporal resolution)","YYYYMMDDHHMM"
"TIMEKEEPING","TIMESTAMP_END","ISO timestamp end of averaging period (up to a 12-digit integer as specified by the data's temporal resolution)","YYYYMMDDHHMM"
"TIMEKEEPING","TIMESTAMP","ISO timestamp (up to a 12-digit integer as specified by the data's temporal resolution)","YYYYMMDDHHMM"
"AQUATIC","COND_WATER","Conductivity (i.e., electrical conductivity) of water","µS cm-1"
"AQUATIC","DO","Dissolved oxygen in water","µmol L-1"
"AQUATIC","PCH4","Dissolved methane (CH4) in water","nmolCH4 mol-1"
"AQUATIC","PCO2","Dissolved carbon dioxide (CO2) in water","µmolCO2 mol-1"
"AQUATIC","PN2O","Dissolved nitrous oxide (N2O) in water","nmolN2O mol-1"
"AQUATIC","PPFD_UW_IN","Photosynthetic photon flux density, underwater, incoming","µmolPhotons m-2 s-1"
"AQUATIC","TW","Water temperature","deg C"
"BIOLOGICAL","DBH","Diameter of tree measured at breast height (1.3m) with continuous dendrometers","cm"
"BIOLOGICAL","LEAF_WET","Leaf wetness, range 0-100","%"
"BIOLOGICAL","SAP_DT","Difference of probes temperature for sapflow measurements","deg C"
"BIOLOGICAL","SAP_FLOW","Sap flow","mmolH2O m-2 s-1"
"BIOLOGICAL","T_BOLE","Bole temperature","deg C"
"BIOLOGICAL","T_CANOPY","Temperature of the canopy and/or surface underneath the sensor","deg C"
"FOOTPRINT","FETCH_70","Distance at which cross-wind integrated footprint cumulative probability is 70%","m"
"FOOTPRINT","FETCH_80","Distance at which cross-wind integrated footprint cumulative probability is 80%","m"
"FOOTPRINT","FETCH_90","Distance at which cross-wind integrated footprint cumulative probability is 90%","m"
"FOOTPRINT","FETCH_FILTER","Footprint quality flag (i.e., 0, 1): 0 and 1 indicate data measured when wind coming from direction that should be discarded and kept, respectively","nondimensional"
"FOOTPRINT","FETCH_MAX","Distance at which footprint contribution is maximum","m"
"GASES","CH4","Methane (CH4) mole fraction in wet air","nmolCH4 mol-1"
"GASES","CH4_MIXING_RATIO","Methane (CH4) in mole fraction of dry air","nmolCH4 mol-1"
"GASES","CO","Carbon Monoxide (CO) mole fraction in wet air","nmolCO mol-1"
"GASES","CO2","Carbon Dioxide (CO2) mole fraction in wet air","µmolCO2 mol-1"
"GASES","CO2_MIXING_RATIO","Carbon Dioxide (CO2) in mole fraction of dry air","µmolCO2 mol-1"
"GASES","CO2_SIGMA","Standard deviation of carbon dioxide mole fraction in wet air","µmolCO2 mol-1"
"GASES","CO2C13","Stable isotopic composition of CO2 - C13 (i.e., d13C of CO2)","‰ (permil)"
"GASES","FC","Carbon Dioxide (CO2) turbulent flux (no storage correction)","µmolCO2 m-2 s-1"
"GASES","FCH4","Methane (CH4) turbulent flux (no storage correction)","nmolCH4 m-2 s-1"
"GASES","FN2O","Nitrous oxide (N2O) turbulent flux (no storage correction)","nmolN2O m-2 s-1"
"GASES","FNO","Nitric oxide (NO) turbulent flux (no storage correction)","nmolNO m-2 s-1"
"GASES","FNO2","Nitrogen dioxide (NO2) turbulent flux (no storage correction)","nmolNO2 m-2 s-1"
"GASES","FO3","Ozone (O3) turbulent flux (no storage correction)","nmolO3 m-2 s-1"
"GASES","H2O","Water (H2O) vapor in mole fraction of wet air","mmolH2O mol-1"
"GASES","H2O_MIXING_RATIO","Water (H2O) vapor in mole fraction of dry air","mmolH2O mol-1"
"GASES","H2O_SIGMA","Standard deviation of water vapor mole fraction","mmolH2O mol-1"
"GASES","N2O","Nitrous Oxide (N2O) mole fraction in wet air","nmolN2O mol-1"
"GASES","N2O_MIXING_RATIO","Nitrous Oxide (N2O) in mole fraction of dry air","nmolN2O mol-1"
"GASES","NO","Nitric oxide (NO) mole fraction in wet air","nmolNO mol-1"
"GASES","NO2","Nitrogen dioxide (NO2) mole fraction in wet air","nmolNO2 mol-1"
"GASES","O3","Ozone (O3) mole fraction in wet air","nmolO3 mol-1"
"GASES","SC","Carbon Dioxide (CO2) storage flux","µmolCO2 m-2 s-1"
"GASES","SCH4","Methane (CH4) storage flux","nmolCH4 m-2 s-1"
"GASES","SN2O","Nitrous oxide (N2O) storage flux","nmolN2O m-2 s-1"
"GASES","SNO","Nitric oxide (NO) storage flux","nmolNO m-2 s-1"
"GASES","SNO2","Nitrogen dioxide (NO2) storage flux","nmolNO2 m-2 s-1"
"GASES","SO2","Sulfur Dioxide (SO2) mole fraction in wet air","nmolSO2 mol-1"
"GASES","SO3","Ozone (O3) storage flux","nmolO3 m-2 s-1"
"HEAT","FH2O","Water vapor (H2O) turbulent flux (no storage correction)","mmolH2O m-2 s-1"
